Date;US GDP (AR);US unemployment;US 10-YEAR TREASURY BONDS YIELD;US POPULATION;Non-Farm;US CPI;US NOMINAL BROAD EFFECTIVE EXCH.RATE;US PERSONAL CURRENT TAXES (AR);US GOVERNMENT CONSUMPTION & INVESTMENT (AR);US CURRENT ACCOUNT BALANCE
Q1 1970;5300,652;3644000;7,37;204246;13926000;38,1;35,86958;104,573;247,889;620
Q2 1970;5308,164;3869333,333;7,71;204941;13651666,67;38,633;35,84668;105,512;249,143;972
Q3 1970;5357,077;4346666,667;7,46;205664;13459000;39,033;35,60398;100,657;254,584;515
Q4 1970;5299,672;4512333,333;6,85;206352;12916000;39,6;35,6147;101,538;258,708;222
Q1 1971;5443,619;5359000;6,02;206960;13028666,67;39,933;35,48114;98,331;261,905;683
Q2 1971;5473,059;4879333,333;6,25;207562;13028666,67;40,3;35,4478;100,714;266,118;-409
Q3 1971;5518,072;5102333,333;6,48;208230;13010666,67;40,7;35,23649;102,307;269,783;-536
Q4 1971;5531,032;4724333,333;5,89;208829;13056333,33;41;34,43127;105,468;272,067;-1173
Q1 1972;5632,649;5392333,333;6,03;209299;13241333,33;41,333;33,6536;119,785;282,228;-1693
Q2 1972;5760,47;4860333,333;6,14;209811;13433000;41,6;33,48179;123,37;286,464;-1689
Q3 1972;5814,854;4940666,667;6,29;210379;13507000;41,933;33,5908;124,277;284,316;-1285
Q4 1972;5912,22;4334666,667;6,37;210903;13788666,67;42,367;33,82736;127,128;291,749;-1130
Q1 1973;6058,544;4730666,667;6,6;211337;14104666,67;43,033;32,79995;126,399;299,571;145
Q2 1973;6124,506;4329666,667;6,81;211828;14220666,67;43,933;31,70068;129,181;302,709;873
Q3 1973;6092,301;4372000;7,21;212382;14232000;44,8;31,03808;134,089;304,189;2737
Q4 1973;6150,131;4029000;6,75;212859;14339000;45,933;31,79377;139,959;312,593;3383
Q1 1974;6097,258;5039666,667;7,05;213286;14277333,33;47,3;32,63655;142,792;324,586;1612
Q2 1974;6111,751;4683333,333;7,54;213770;14207000;48,567;31,79857;148,902;334,957;110
Q3 1974;6053,978;5198333,333;7,96;214349;14088666,67;49,933;32,57557;154,911;346,71;-295
Q4 1974;6030,464;5701666,667;7,67;214857;13583333,33;51,467;32,70238;157,587;359,228;531
Q1 1975;5957,035;8372333,333;7,54;215276;12679333,33;52,567;32,27798;157,988;370,138;4207
Q2 1975;5999,61;8096666,667;8,05;215871;12394666,67;53,2;32,7208;121,068;373,408;5014
Q3 1975;6102,326;7911333,333;8,3;216490;12509666,67;54,267;34,07141;152,831;385,394;4080
Q4 1975;6184,53;7332666,667;8,06;217013;12732666,67;55,267;34,64917;158,541;395,571;4813
Q1 1976;6323,649;8020000;7,75;217455;13022333,33;55,9;34,66737;162,503;401,291;2566
Q2 1976;6370,025;7061000;7,77;217948;13137000;56,4;34,95402;169,337;400,985;1648
Q3 1976;6404,895;7429333,333;7,73;218542;13190666,67;57,3;35,18899;176,128;403,517;-84
Q4 1976;6451,177;7112000;7,19;219093;13179333,33;58,133;36,10557;182,716;410,818;163
Q1 1977;6527,703;7965666,667;7,35;219594;13353333,33;59,2;36,46786;188,798;421,202;-2687
Q2 1977;6654,466;6853666,667;7,37;220143;13559666,67;60,233;36,58817;195,691;431,362;-3031
Q3 1977;6774,457;6852333,333;7,36;220796;13687666,67;61,067;36,59775;198,551;438,014;-2757
Q4 1977;6774,592;6297000;7,6;221390;13784666,67;61,967;36,35402;208,476;446,749;-5862
Q1 1978;6796,26;6851666,667;8,01;221892;13953000;63,033;35,78145;211,996;452,589;-7020
Q2 1978;7058,92;5970666,667;8,32;222482;14087333,33;64,467;35,62466;223,084;472,288;-3777
Q3 1978;7129,915;6215000;8,49;223168;14193333,33;65,967;34,47179;236,298;484,229;-3667
Q4 1978;7225,75;5772333,333;8,82;223781;14379333,33;67,5;34,30389;247,218;496,241;-679
Q1 1979;7238,727;6525333,333;9,11;224333;14508000;69,2;34,83918;253,625;501,818;-424
Q2 1979;7246,454;5849333,333;9,11;224948;14544000;71,4;35,45617;261,998;516,508;-691
Q3 1979;7300,281;6191666,667;9,1;225662;14457666,67;73,7;35,21994;274,827;533,106;923
Q4 1979;7318,535;5985000;10,45;226339;14326333,33;76,033;35,93361;285,202;547,775;-98
Q1 1980;7341,557;7131333,333;11,99;226955;14192000;79,033;36,41179;284,825;568,781;-3459
Q2 1980;7190,289;7668333,333;10,48;227624;13650333,33;81,7;36,46113;292,174;588,547;-941
Q3 1980;7181,743;8153333,333;10,95;228302;13324000;83,233;35,88914;302,195;592,169;4333
Q4 1980;7315,677;7595333,333;12,42;228858;13505000;85,567;36,60101;318,854;608,893;2383
Q1 1981;7459,022;8543666,667;12,96;229314;13537666,67;87,933;37,66594;330,898;633,35;963
Q2 1981;7403,745;7925666,667;13,75;229864;13619666,67;89,767;39,8074;342,672;648,673;1228
